"通汇金融代号","总单位名称","帐号长度","地址","电话"
"814","大众商业银行","存放款类12位\n缴款类14位","台北市信义路５段２号３楼","02 87869888"
"通汇金融代号","支单位名称","地址","电话"
"8140014","营业部","高雄市中正二路５８号","07 2235550"
"8140025","敦化分行","台北市敦化北路２０１号一楼前栋","02 25455569"
"8140036","屏东分行","屏东县屏东市广东路１１５号","08 7226060"
"8140047","高雄分行","高雄市中山二路２号","07 3362020"
"8140058","凤山分行","高雄县凤山市中山西路３４２号","07 7403699"
"8140069","台南分行","台南市西门路三段１５７号","06 2266120"
"8140070","嘉义分行","嘉义市新荣路１９８号","05 2290666"
"8140081","台北分行","台北市松山区光复北路１１２号","02 25771015"
"8140092","新庄分行","台北县新庄市四维路１０７号","02 22037676"
"8140106","中坜分行","桃园县中坜市中央西路二段１５２号","03 4943000"
"8140117","台中分行","台中市文心路三段２３９号１楼","04 22938998"
"8140128","大昌分行","高雄市大昌二路１１１－１号","07 3814488"
"8140151","新生分行","台北市忠孝东路二段８８号","02 23216600"
"8140162","板桥分行","台北县板桥市中山路二段４４３号","02 29559966"
"8140173","沙鹿简易型分行","台中县沙鹿镇中山路４２８号","04 26621999"
"8140184","博爱分行","高雄市博爱一路２１８号","07 3160699"
"8140209","长春分行","台北市中山区长春路１４５号１楼","02 25626808"
"8140210","三重简易型分行","台北县三重市重新路三段９２号","02 29702899"
"8140221","桃园分行","桃园县桃园市成功路一段３２号１１楼","03 3378588"
"8140232","永康分行","台南县永康市中华路２１号","06 3128666"
"8140243","右昌分行","高雄市楠梓区后昌路８０３之１号","07 3649911"
"8140254","前金简易型分行","高雄市中华三路２１７号","07 2722766"
"8140265","五甲简易型分行","高雄县凤山市五甲二路４９０号","07 8319900"
"8140276","文山简易型分行","台北市文山区景兴路２０３号","02 29351715"
"8140287","中和分行","台北县中和市连城路８７号","02 22405100"
"8140298","新营分行","台南县新营市中山路１１７号","06 6333300"
"8140302","大和平分行","台北市大安区和平东路一段１１５号１楼","02 23432233"
"8140313","西台南分行","台南市西区金华路三段２３０号","06 2230006"
"8140324","内湖分行","台北市瑞光路５８３巷２１号","02 26271000"
"8140335","湾里简易型分行","台南市湾里路２１１巷８８弄１２之６号","06 2623260"
"8140346","安南简易型分行","台南市安南区安和路五段１８９号","06 3559083"
"8140357","江翠分行","台北县板桥市文化路二段３２１号１楼","02 22581188"
"8140368","长庚分行","桃园县龟山乡复兴街５号１楼","03 3975678"
"8140379","东台南分行","台南市崇学路８１号","06 3353688"
"8140380","信义分行","台北市信义路五段２号","02 87869788"
"8140391","新竹分行","新竹市光复路一段３２２号１楼","03 5643500"
"8140405","汐止分行","台北县汐止市忠孝东路２８５号１楼","02 26417266"
"8140416","天母分行","台北市忠诚路一段２７号","02 28385959"
"8140427","仁爱简易型分行","台北市仁爱路二段４７号","02 23418822"
"8140438","澄清简易型分行","高雄县鸟松乡大埤路１２３号","07 7326501"
"8140449","南屯简易型分行","台中市南屯区五权西路二段２３０号","04 24716066"
"8140450","永和简易型分行","台北县永和市中山路一段１４５号","02 89219218"
"8140461","小港简易型分行","高雄市小港区汉民路６７８号","07 8063799"
"8140472","竹北简易型分行","新竹县竹北市博爱街５１５号","03 6563500"
"8140483","北桃园分行","桃园县桃园市大兴西路一段１９４号１，２楼","03 3261234"
"8140494","永春简易型分行","台北市忠孝东路五段４７８号","02 27230688"
"8140508","圆山简易型分行","台北市中山区中山北路三段４７号","02 25986598"
"8140519","丰原简易型分行","台中县丰原市仁爱街６号１楼","04 25156777"
"8140520","彰化简易型分行","彰化县彰化市中兴路１４０号","04 7291688"
"8140531","北高雄简易型分行","高雄市左营区裕诚路２９１号","07 5560566"
"8140542","大里分行","台中县大里市德芳路２段１１３号１－３楼","04 24180538"
"8140553","北台中简易型分行","台中市北屯区崇德路二段５７号","04 22328800"
"8140564","中屏简易型分行","屏东县屏东市民生路２９０号","08 7655959"
"8140575","旗津分行","高雄市旗津区庙前路１０６号","07 5715898"
"8140586","左营分行","高雄市左营区左营大路２５５号","07 5815136"
"8140597","盐埕分行","高雄市盐埕区大仁路９２号","07 5211202"
"8140601","前镇分行","高雄市前镇区草衙二路５１７号","07 8214581"
"8140612","明诚分行","高雄市左营区明诚二路３５９号","07 5567188"
"8140726","中正分行","台北市中正区汉口街一段４５号、４７号","02 23113166"
