"通汇金融代号","总单位名称","帐号长度","地址","电话"
"815","日盛国际商业银行","14位","台北市重庆南路一段１０号","02 23889888"
"通汇金融代号","支单位名称","地址","电话"
"8150015","营业部","台北市重庆南路一段１０号","02 23889888"
"8150026","松江分行","台北市松江路６８号","02 25628888"
"8150037","延平分行","台北市长安西路１００号","02 25559888"
"8150048","内湖分行","台北市内湖路一段２４６号１楼","02 87519588"
"8150059","桃园分行","桃园县桃园市中山路７７５号１楼之１","03 2281888"
"8150060","台中分行","台中市公益路二段５１号","04 23289988"
"8150071","台南分行","台南市东门路一段３５８号","06 2758888"
"8150093","高雄分行","高雄市前金区七贤二路２６７号","07 2915888"
"8150107","新庄分行","台北县新庄市思源路４２７号１楼","02 29920888"
"8150118","中坜分行","桃园县中坜市复兴路７６号","03 4279888"
"8150129","松山分行","台北市南京东路四段１３０号","02 25789888"
"8150130","松南分行","台北市忠孝东路五段５０２号","02 27275188"
"8150141","八德分行","桃园县八德乡介寿路一段８８０号","03 3672888"
"8150163","板桥分行","台北县板桥市馆前东路１１０号","02 29522888"
"8150174","信义分行","台北市基隆路二段１０９号","02 27399888"
"8150185","苓雅分行","高雄市苓雅区复兴二路９号１楼","07 3340688"
"8150196","前金分行","高雄市中华四路２９３号","07 2119888"
"8150211","嘉义分行","嘉义市林森西路１６９号","05 2257888"
"8150222","三重分行","台北县三重市正义北路１４６号","02 89811188"
"8150233","北台中分行","台中市进化北路３３２号","04 22341188"
"8150244","双和分行","台北县中和市中和路３２２号","02 32338388"
"8150255","士林分行","台北市承德路四段２２０号","02 88611888"
"8150266","树林分行","台北县树林市中山路一段２７６号","02 86875888"
"8150277","北桃园分行","桃园县桃园市中正路１２０３号１楼","03 3150888"
"8150288","新竹分行","新竹市光复路二段５１３号１楼","03 5613588"
"8150299","敦化分行","台北市敦化南路二段１８０号","02 27339888"
"8150303","三民分行","高雄市三民区建工路８５６号１、２楼","07 3853688"
"8150314","新营分行","台南县新营市中山路１６９号","06 6335888"
"8150325","头份分行","苗栗县头份镇中华路９２６号","03 7692188"
"8150336","大里分行","台中县大里市东荣路２１９号","04 24876888"
"8150347","光复分行","新竹市中正路２２５号","03 5320588"
"8150358","员林分行","彰化县员林镇中山南路１８号","04 8390988"
"8150369","虎尾分行","云林县虎尾镇德兴路９７号","05 6335658"
"8150370","屏东分行","屏东县屏东市仁爱路８８－２号","08 7326688"
"8150381","南门分行","台北市南海路３之１号","02 23569788"
"8150392","仁爱分行","台北市新生南路２段１０号","02 23419788"
"8150406","敦北分行","台北市松山区敦化北路２１４号１楼","02 25147688"
"8150417","南京分行","台北市南京东路二段１１１号１楼","02 25047688"
"8150428","竹北分行","新竹县竹北市县政二路２６９号","03 6570988"
"8150439","安平分行","台南市安平区永华路二段５０６号","06 2932088"
