"通汇金融代号","总单位名称","帐号长度","地址","电话"
"816","安泰商业银行","14位","台北市民生东路三段１５８号","02 27189999"
"通汇金融代号","支单位名称","地址","电话"
"8160016","长安东路分行","台北市长安东路一段２７号","02 25629999"
"8160027","信义分行","台北市信义路四段２８１号","02 27049999"
"8160038","营业部","台北市民生东路三段１５８号","02 25463999"
"8160049","敦南分行","台北市敦化南路二段９７号３Ｆ","02 27039999"
"8160050","桃园分行","桃园县桃园市中山东路２１号","03 3389999"
"8160061","新庄分行","台北县新庄市富国路３２号","02 29088999"
"8160072","台中分行","台中市公益路２９９号","04 23195599"
"8160083","高雄分行","高雄市苓雅区民权一路８７号１楼","07 3359999"
"8160094","台南分行","台南市中山路５２号１楼","06 2211899"
"8160108","兴隆分行","台北市兴隆路三段１１号１楼","02 86632599"
"8160119","延平分行","台北市南京西路２０５∣２０９号","02 25596969"
"8160120","中坜分行","桃园县中坜市中山路８８号","03 4276999"
"8160131","板桥分行","台北县板桥市三民路二段４０号","02 29539999"
"8160142","丰原分行","台中县丰原市信义街６７巷１５号","04 25255999"
"8160153","前金分行","高雄市前金区七贤二路１５７号","07 2887999"
"8160164","中和分行","台北县中和市中和路１１８号","02 22478999"
"8160186","凤山分行","高雄县凤山市凯旋路３３９号","07 7653999"
"8160197","松江分行","台北市松江路６６号","02 25361999"
"8160201","中仑分行","台北市八德路三段３６号","02 25700999"
"8160212","嘉义分行","嘉义市仁爱路３８１号","05 2161789"
"8160223","三重简易型分行","台北县三重市正义北路１３８号","02 29827799"
"8160245","沙鹿分行","台中县沙鹿镇大同街１５之５号","04 26358989"
"8160256","新竹分行","新竹市中山路１６３号","03 5249999"
"8160267","员林分行","彰化县员林镇育英路２４号","04 8316769"
"8160278","建国分行","台北市建国北路二段１３５号","02 25185999"
"8160289","北高雄分行","高雄市富国路１８５号","07 5561999"
"8160290","新店分行","台北县新店市宝中路一一九号","02 29171999"
"8160304","和平分行","台北市和平东路一段１４５号１楼","02 23973720"
"8160315","成功分行","台北市内湖区成功路３段１７４巷８号１楼","02 87919959"
"8160326","通化简易型分行","台北市通化街２９号１楼","02 27066010"
"8160337","南门分行","台北市南昌路二段８５号１楼","02 23518050"
"8160348","汀州简易型分行","台北市汀州路二段４８号１楼","02 23659121"
"8160359","农安分行","台北市农安街２５号","02 25965099"
"8160360","景美分行","台北市罗斯褔路五段１７２号１楼","02 29330234"
"8160371","民权分行","台北市民权东路二段２４号１楼","02 25377001"
"8160382","松山分行","台北市松山路５４５号１楼","02 27265142"
"8160393","内湖简易型分行","台北市康乐街１２号１楼","02 26339201"
"8160407","忠孝分行","台北市忠孝东路四段２３１之１号","02 27111699"
"8160418","芦洲分行","台北县芦洲市三民路７２号","02 82833999"
"8160429","永康分行","台南县永康市中华路５３６号","06 3023789"
"8160430","西坜分行","桃园县中坜市环北路３９４号","03 4263899"
"8160441","北桃园简易型分行","桃园县桃园市永安路２２３号","03 3349899"
"8160452","幸福分行","台北县新庄市幸福路６７６之１号１楼","02 89932828"
"8160463","天母分行","台北市忠诚路一段４８号","02 28381177"
"8160474","龙潭简易型分行","桃园县龙潭乡中正路２１７号","03 4995869"
"8160485","复兴分行","台北市复兴北路５６号１楼","02 27811988"
"8160496","永吉简易型分行","台北市永吉路２９２号","02 27425099"
"8160500","石牌简易型分行","台北市北投区承德路７段１０８号","02 28289239"
"8160511","八德简易型分行","桃园县八德市介寿路一段９４１号１楼","03 3756986"
"8160522","竹北简易型分行","新竹县竹北市中正东路１９５号","03 6561789"
"8160533","永和分行","台北县永和市中正路４６７号","02 29258799"
"8160544","西湖简易型分行","台北市内湖路１段１５５号１楼","02 26560899"
"8160555","土城简易型分行","台北县土城市学府路一段１６７号","02 82623899"
