"通汇金融代号","总单位名称","帐号长度","地址","电话"
"822","中国信托商业银行","存、放款类12、13位亦可\n代收业务类12-14位","台北市松寿路３号","02 27222002"
"通汇金融代号","支单位名称","地址","电话"
"8220015","敦北分行","台北市敦化北路１２２号","02 27133322"
"8220026","台中分行","台中市民族路５０号","04 22292161"
"8220037","高雄分行","高雄市中正四路１６８号","07 2318141"
"8220059","台南分行","台南市中正路３１号","06 2295151"
"8220060","三重分行","台北县三重市正义北路２０８号","02 29828121"
"8220071","城东分行","台北市南京东路二段８８号","02 25677377"
"8220082","嘉义分行","嘉义市民生北路２４１号","05 2286600"
"8220093","中仑分行","台北市八德路四段８５号","02 27672669"
"8220107","城中分行","台北市重庆南路一段８３号","02 23818740"
"8220118","三民分行","高雄市九如二路３６６号","07 3161155"
"8220129","中坜分行","桃园县中坜市延平路５００号","03 4223131"
"8220130","双和分行","台北县永和市中正路５８８号","02 29233333"
"8220141","中山分行","台北市中山北路二段１０６号之２","02 25235222"
"8220152","仁爱分行","台北市仁爱路四段３４１号","02 27754600"
"8220163","敦南分行","台北市敦化南路二段６８号","02 23253616"
"8220174","板桥分行","台北县板桥市文化一路１８７号","02 29606600"
"8220185","忠孝分行","台北市忠孝东路四段７１号","02 27520310"
"8220196","新兴分行","高雄市民生一路２０６号","07 2262325"
"8220200","南京东路分行","台北市南京东路一段１６号","02 25232238"
"8220222","西台南分行","台南市金华路四段２１２号","06 2263636"
"8220255","松山分行","台北市忠孝东路五段５５０号","02 23466711"
"8220266","新庄分行","台北县新庄市中正路３２０号","02 29929696"
"8220277","桃园分行","桃园县桃园市成功路一段３２号","03 3373266"
"8220288","中港分行","台中市台中港路一段４００号","04 23149999"
"8220299","新竹分行","新竹市中正路１５８号","03 5222687"
"8220303","芦洲分行","台北县芦洲市中山一路２０８号","02 28482008"
"8220314","新店分行","台北县新店市北新路二段６∣８号","02 29129988"
"8220325","员林分行","彰化县员林镇中正路３７２号","04 8368676"
"8220336","东新竹分行","新竹市建中路３２号","03 5749190"
"8220347","公馆分行","台北市罗斯福路三段２８１号","02 23623377"
"8220358","永康分行","台南县永康市中华路４２５号","06 2025787"
"8220369","土城分行","台北县土城市中央路二段３０４号","02 22630888"
"8220370","头份分行","苗栗县头份镇中华路９５１号１楼","037695678"
"8220381","基隆分行","基隆市信一路１５０号","02 24221166"
"8220392","丰原分行","台中县丰原市中正路５４５号","04 25201010"
"8220406","天母分行","台北市中山北路六段９０号","02 28322888"
"8220417","板新分行","台北县板桥市中山路一段２９３号之一号","02 89611500"
"8220428","彰化分行","彰化县彰化市晓阳路７６号","04 7279933"
"8220439","东高雄分行","高雄市青年一路２９号","07 5351885"
"8220440","中华分行","台南市中华东路二段１９５号","06 3353535"
"8220451","内湖分行","台北市成功路四段３５８号","02 27938668"
"8220462","斗六分行","云林县斗六市兴华街２号１楼","05 5360099"
"8220473","文心分行","台中市文心路四段８７５号","04 22469988"
"8220484","重阳分行","台北县三重市重阳路一段６６号","02 89881199"
"8220495","永吉分行","台北市永吉路１６号","02 27617999"
"8220509","前镇简易型分行","高雄市瑞隆路４８０号","07 7261066"
"8220510","南崁分行","桃园县芦竹乡中正路２５７号","03 3212211"
"8220521","永和分行","台北县永和市中山路一段２１５号","02 89235008"
"8220532","公益分行","台中市公益路二段５３号","04 23291111"
"8220543","市府分行","台北市信义区松高路９号","02 27221668"
"8220554","经国分行","新竹市经国路一段３７５号１楼","03 5357655"
"8220565","右昌简易型分行","高雄市楠梓区后昌路８０３之３号","07 3681699"
"8220576","江翠分行","台北县板桥市双十路三段８号１楼","02 22578999"
"8220587","东湖简易型分行","台北市内湖区康宁路三段１８２号１楼","02 26312288"
"8220598","中原分行","桃园县中坜市中北路２段４４５号１楼","03 4662211"
"8220602","大安分行","台北市罗斯福路二段１０２号","02 33651988"
"8220613","北高雄分行","高雄市三民区明诚二路５２号","07 3461199"
"8220624","承德分行","台北市承德路一段１７号","02 25562088"
"8220635","复兴分行","台北市仁爱路四段４６号","02 27099009"
"8220646","石牌分行","台北市北投区石牌路二段４６号１楼","02 28213366"
"8220657","城北分行","台北市中山区松江路２１８号","02 25623789"
"8220668","万华分行","台北市万华区长沙街二段９２号１楼","02 23898188"
"8220679","西松分行","台北市松山区南京东路四段１６１号","02 27177100"
"8220680","北投分行","台北市北投区光明路２１７号１楼","02 28983039"
"8220691","安和分行","台北市安和路二段１９３号","02 27386171"
"8220705","大同简易型分行","台北市大同区重庆北路三段１９６号","02 25982366"
"8220716","瑞光分行","台北市内湖区内湖路一段５１４号","02 27985600"
"8220727","宜兰分行","宜兰县宜兰市中山路二段２７１号","03 9351122"
"8220738","民生分行","台北市民生东路一段５８号","02 25641818"
"8220749","中和分行","台北县中和市连城路６６号","02 22452277"
"8220750","重新分行","台北县三重市重新路二段４２－１号","02 89726189"
"8220761","丹凤分行","台北县新庄市中正路８７９－１４号１楼","02 29066888"
"8220772","北新店分行","台北县新店市民权路２５号１楼","02 29135000"
"8220783","汐止分行","台北县汐止市大同路一段３０６号","02 26489699"
"8220794","金城分行","台北县土城市金城路三段１４号１楼","02 22601177"
"8220808","树林分行","台北县树林市中山路一段１２２号","02 26812345"
"8220819","南势角分行","台北县永和市中正路６３号","02 29498838"
"8220820","北新庄分行","台北县新庄市中华路二段５７号","02 22776789"
"8220853","南桃园分行","桃园县桃园市复兴路３８９号","03 3388866"
"8220864","北桃园分行","桃园县桃园市经国路１２４号１楼","03 3150566"
"8220875","竹科分行","新竹市金山街２号１楼","03 5638080"
"8220901","营业部","台北市松寿路３号","02 27222002"
"8221012","八德简易型分行","桃园县八德市介寿路一段９６５号１楼","03 3716565"
"8221023","林口分行","桃园县龟山乡复兴一路２３３号","03 3962777"
"8221034","竹北分行","新竹县竹北市光明六路４９号","03 6560222"
"8221045","南屯分行","台中市南屯区五权西路二段２３４号","04 24712268"
"8221056","大里分行","台中县大里市东荣路２０号１楼","04 24813333"
"8221067","北台中简易型分行","台中市育才北路７７号１楼","04 22231666"
"8221078","南投简易型分行","南投县南投市中山街２２０号","0492207711"
"8221090","太平简易型分行","台中县太平市中兴东路３１２号１楼","04 22789988"
"8221104","中台南分行","台南市民生路一段１６７号","06 2412318"
"8221115","东台南分行","台南市长荣路二段２９０号","06 2085522"
"8221126","台东分行","台东县台东市中山路２７９号１楼","089339898"
"8221137","南台南简易型分行","台南市健康路二段２３６号","06 2919999"
"8221148","新营分行","台南县新营市中山路１３７号","06 6336789"
"8221159","科博馆分行","台中市西区台中港路一段１７９号","04 23101258"
"8221160","西屯简易型分行","台中市西屯区台中港路三段１１１号","04 23551000"
"8221171","民族分行","高雄市民族二路９７号","07 2386567"
"8221182","南高雄分行","高雄市一心二路２１号","07 3366768"
"8221193","九如简易型分行","高雄市三民区九如一路５５１号","07 3805558"
"8221207","屏东分行","屏东县屏东市自由路４５０号","08 7383000"
"8221218","复北分行","台北市松山区复兴北路３６３号１楼","02 87705566"
"8221229","凤山分行","高雄县凤山市中山路８５之１号","07 7451199"
"8221230","五甲分行","高雄县凤山市五甲二路６９９号","07 8215101"
"8221241","延吉分行","台北市大安区忠孝东路四段２９８号","02 27716000"
"8221252","信义分行","台北市大安区信义路四段２３６号","02 27079977"
"8221263","青年分行","高雄县凤山市青年路二段３１５号１楼","07 7777668"
"8221274","冈山分行","高雄县冈山镇冈山路３８８号１楼","07 6235500"
"8221285","士林分行","台北市士林区中正路３０７号","02 28839900"
"8221296","新生南路分行","台北市大安区新生南路一段１１１号１楼","02 87736060"
"8221300","文山分行","台北市文山区辛亥路４段２５０号","02 29335358"
"8222101","淡水简易型分行","台北县淡水镇中山路１２３号","02 86318822"
"8222112","民安简易型分行","台北县新庄市民安路１７９号１楼","02 22068887"
"8222123","二重埔简易型分行","台北县三重市光复路一段７０之１号","02 29959876"
"8222134","富锦分行","台北市民生东路５段１６５号","02 27602766"
"8222156","逢甲简易型分行","台中市西屯区西屯路二段２７５之２号１Ｆ","04 27069706"
"8222167","东芦洲分行","台北县芦洲市民族路１３５号","02 22839300"
"8222178","木栅分行","台北市文山区木栅路３段６９号","02 29375890"
"8222189","东花莲分行","花莲县花莲市公园路１－７号","03 8351101"
"8222190","西花莲分行","花莲县花莲市中山路８３５号","03 8572161"
"8222215","东门分行","台北市中正区信义路２段２１３号","02 23958000"
"8222271","华山分行","台北市中正区忠孝东路一段５５号","02 23413000"
"8222282","龙江分行","台北市南京东路三段６５号１楼","02 25158811"
"8222293","成功分行","台北市内湖区成功路４段１６１号","02 87911686"
"8223119","大直分行","台北市中山区明水路６３８号","02 85026002"
"8223131","仁里分行","花莲县吉安乡中正路一段１１２号","03 8539577"
"8223142","重庆分行","台北县板桥市重庆路２９０号","02 29634567"
"8223164","罗东分行","宜兰县罗东镇兴东南路２３２号","03 9574320"
