"通汇金融代号","总单位名称","帐号长度","地址","电话"
"901","大里市农会","","台中县大里市新兴路１０１号","04 24062131"
"通汇金融代号","支单位名称","地址","电话"
"9010015","大里市农会","台中县大里市新兴路１０１号","04 24062131"
"9010026","内新办事处","台中县大里市中兴路二段５０６号","04 24850920"
"9010037","草湖办事处","台中县大里市中兴路一段１１１号","04 24933512"
"9010048","健民办事处","台中县大里市文化路３号","04 24912421"
"9010059","东荣办事处","台中县大里市东荣路１７３号","04 24815581"
"9010060","金城办事处","台中县大里市中兴路一段３０８－１１号","04 24922853"
"9010071","十九甲办事处","台中县大里市新仁路一段１２１号","04 22781000"
"9010093","仁化办事处","台中县大里市仁化路５５１号","04 24910905"
"9010107","国光办事处","台中县大里市国光路二段６４９号","04 24075536"
"9010118","成功办事处","台中县大里市成功路５２９号","04 24927888"
