"通汇金融代号","总单位名称","帐号长度","地址","电话"
"904","台北县新庄市农会","14位","台北县新庄市中正路８０号","02 29917171"
"通汇金融代号","支单位名称","地址","电话"
"9040018","台北县新庄市农会信用部","台北县新庄市中正路８０号","02 29917171"
"9040029","丹凤分部","台北县新庄市中正路７０２∣３号","02 29033436"
"9040030","头前分部","台北县新庄市化成路１４７号","02 29974921"
"9040063","西盛分部","台北县新庄市民安西路１５号","02 22052942"
"9040074","中港分部","台北县新庄市中港路３６９号","02 29974781"
"9040085","后港分部","台北县新庄市后港一路１２０号","02 22048864"
"9040096","营盘分部","台北县新庄市中正路５９９号","02 29038158"
"9040100","琼林分部","台北县新庄市琼泰路７之１号","02 22057172"
"9040111","思源分部","台北县新庄市中原路５５号","02 29903545"
"9040122","新泰分部","台北县新庄市中平路３号","02 22774742"
