"通汇金融代号","总单位名称","帐号长度","地址","电话"
"954","财团法人农渔会中区资讯中心","14位","台中县雾峰乡四德路１０号５Ｆ","04 23334800"
"通汇金融代号","支单位名称","地址","电话"
"9547609","七股乡农会","台南县七股乡大埕村２７２号","06 7871711"
"9540208","二水乡农会","彰化县二水乡圣化村员集路三段６７８号","04 8792111"
"9543106","三义乡农会","苗栗县三义乡中正路８０号","037872001"
"9543117","鲤鱼潭分部","苗栗县三义乡鲤鱼潭村鲤鱼口５７∣１号","037881164"
"9541308","三湾乡农会","苗栗县三湾乡三湾村中正路１７６号","037831207"
"9547908","下营乡农会","台南县下营乡新兴村６３８号","06 6894655"
"9547919","中兴分部","台南县下营乡下营村７２９号","06 6892114"
"9547920","中营分部","台南县下营乡开化村２６２号","06 6892050"
"9547931","甲中办事处","台南县下营乡甲中村中庄仔６９之１０号","06 6895421"
"9546303","土库镇农会","云林县土库镇越港里建国路３７－１号","05 6623111"
"9546314","马光分部","云林县土库镇马光路６０∣５号","05 6654611"
"9546325","新庄办事处","云林县土库乡新庄里２０８号","05 6654133"
"9546336","忠正办事处","云林县土库镇中山路１９２号","05 6629111"
"9546358","后埔分部","云林县土库镇后埔里１３邻１５２－４号","05 6657758"
"9547104","大内乡农会","台南县大内乡大内村９号","06 5761017"
"9547115","二溪办事处","台南县大内乡曲溪村１号之１７号","06 5762274"
"9547126","头社分部","台南县大内乡头社村２８号","06 5763412"
"9547137","环湖分部","台南县大内乡环湖村５８号之２","06 5760268"
"9544000","大甲镇农会","台中县大甲镇文武路１０号","04 26863990"
"9544011","顺天分部","台中县大甲镇顺天路２１１号","04 26875125"
"9544022","日南分部","台中县大甲镇中山路二段２０２号","04 26813701"
"9544033","西岐分部","台中县大甲镇顺帆路１０５号","04 26811781"
"9544044","幼狮分部","台中县大甲镇幼四路４５号","04 26818065"
"9544055","庄美办事处","台中县大甲镇文武路２１１之６号","04 26869455"
"9540600","大安乡农会","台中县大安乡中松路６号","04 26712229"
"9540611","海墘办事处","台中县大安乡大安港路１１４９号","04 26873560"
"9540622","松雅办事处","台中县大安乡大安港路５９７号","04 26868706"
"9545409","大村乡农会","彰化县大村乡中正西路９２号","04 8520327"
"9545410","大村分部","彰化县大村乡茄苳路一段１２号","04 8524035"
"9545421","美港分部","彰化县大村乡中山路一段１１号","04 8358649"
"9545432","大西办事处","彰化县大村乡大仑路１０之３７号","04 8525846"
"9545443","村东办事处","彰化县大村乡山脚路１０８之３号","04 8528723"
"9540806","大肚乡农会","台中县大肚乡沙田路二段６８３号","04 26991161"
"9540817","王田办事处","台中县大肚乡沙田路一段８５号","04 26933754"
"9540828","福山办事处","台中县大肚乡沙田路一段５４６∣２号","04 26930393"
"9540839","蔗廓办事处","台中县大肚乡游园路二段９５号","04 26911966"
"9540840","成功办事处","台中县大肚乡文昌路５３４∣２号","04 26997335"
"9545708","大城乡农会","彰化县大城乡南平路２５６号","04 8944565"
"9545719","西港分部","彰化县大城乡中央路５∣１１号","04 8945279"
"9543209","大湖地区农会","苗栗县大湖乡富兴村九邻八寮湾２－７号","037997075"
"9543210","新开分部","苗栗县大湖乡新开村新开２８∣６号","037951336"
"9543221","南湖分部","苗栗县大湖乡义和村淋漓坪１∣５号","037995222"
"9543232","清安分部","苗栗县泰安乡清安村洗水坑１１号","037941028"
